home_score,away_score,home_team,away_team,date,win_score,lost_score
17,9,Yale,Syracuse,1904-10-15T00:00:00.000Z,17,9
10,9,Navy,Princeton,1904-10-15T00:00:00.000Z,10,9
69,0,Vanderbilt,Ole Miss,1904-10-15T00:00:00.000Z,69,0
29,4,Vanderbilt,Missouri-Rolla,1904-10-22T00:00:00.000Z,29,4
37,6,Missouri,Transylvania,1904-10-22T00:00:00.000Z,37,6
146,0,Minnesota,Grinnell,1904-10-22T00:00:00.000Z,146,0
130,0,Michigan,West Virginia,1904-10-22T00:00:00.000Z,130,0
16,12,Minnesota,Nebraska,1904-10-29T00:00:00.000Z,16,12
114,0,Ole Miss,Union (Tennessee),1904-10-29T00:00:00.000Z,114,0
0,97,Central (Kentucky),Vanderbilt,1904-10-29T00:00:00.000Z,97,0
30,4,Syracuse,Lehigh,1904-11-12T00:00:00.000Z,30,4
40,10,Texas,Oklahoma,1904-11-16T00:00:00.000Z,40,10
4,41,Kansas State,Kansas,1904-11-19T00:00:00.000Z,41,4
32,5,Mississippi State,Louisiana Tech,1904-11-25T00:00:00.000Z,32,5
71,0,Pittsburgh,California (Pennsylvania),1905-09-27T00:00:00.000Z,71,0
10,39,Georgia,Cumberland,1905-10-03T00:00:00.000Z,39,10
104,0,Tennessee,American,1905-10-07T00:00:00.000Z,104,0
0,109,Regis (CO),Colorado,1905-10-07T00:00:00.000Z,109,0
15,11,Virginia,Bucknell,1905-10-21T00:00:00.000Z,15,11
41,5,Iowa,Northern Iowa,1905-10-28T00:00:00.000Z,41,5
142,0,Notre Dame,American Medical,1905-10-28T00:00:00.000Z,142,0
129,0,Utah,Fort Douglas,1905-10-28T00:00:00.000Z,129,0
35,6,Virginia Tech,North Carolina,1905-10-28T00:00:00.000Z,35,6
6,9,Oklahoma,Washburn,1905-10-30T00:00:00.000Z,9,6
24,11,Texas A&M,TCU,1905-11-04T00:00:00.000Z,24,11
47,6,Indiana,Cincinnati,1905-11-04T00:00:00.000Z,47,6
15,4,Syracuse,Holy Cross,1905-11-11T00:00:00.000Z,15,4
67,0,Pittsburgh,Butler YMCA,1905-11-15T00:00:00.000Z,67,0
37,11,Northwestern,Michigan State,1905-11-18T00:00:00.000Z,37,11
31,5,Tennessee,Centre,1905-11-18T00:00:00.000Z,31,5
43,5,Nebraska,Doane,1905-11-25T00:00:00.000Z,43,5
68,4,Vanderbilt,Sewanee Univ. of the South,1905-11-30T00:00:00.000Z,68,4
23,4,Missouri,Truman State,1906-10-02T00:00:00.000Z,23,4
41,2,Missouri,Central Missouri State,1906-10-06T00:00:00.000Z,41,2
37,5,Kansas,Arkansas,1906-10-13T00:00:00.000Z,37,5
2,14,Nebraska,Iowa State,1906-10-20T00:00:00.000Z,14,2
78,0,Vanderbilt,Alabama,1906-10-20T00:00:00.000Z,78,0
28,9,Michigan,Illinois,1906-10-27T00:00:00.000Z,28,9
33,8,Chicago,Indiana,1906-10-27T00:00:00.000Z,33,8
4,9,Syracuse,Carlisle,1906-11-03T00:00:00.000Z,9,4
34,2,Saint Louis,Kansas,1906-11-03T00:00:00.000Z,34,2
15,12,Iowa,Coe,1906-11-10T00:00:00.000Z,15,12
